version,n_qubits,dimension,seed,family,metric,spearman_rho_vs_prominence,n_pairs,n_groups
v32.22,7,128,25042005,dephasing,A_group,0.5588235294117647,16,32
v32.22,7,128,25042005,dephasing,C2_group,0.7470588235294118,16,32
v32.22,7,128,25042005,dephasing,C_group,0.7470588235294118,16,32
v32.22,7,128,25042005,transverse,S_group,0.5705882352941177,16,32
v32.22,7,128,25042005,transverse,A_group,0.6058823529411764,16,32
v32.22,7,128,25042005,transverse,C2_group,0.823529411764706,16,32
v32.22,7,128,25042005,transverse,C_group,0.823529411764706,16,32
v32.22,7,128,25042006,dephasing,S_group,0.2323529411764706,16,32
v32.22,7,128,25042006,dephasing,A_group,0.7088235294117646,16,32
v32.22,7,128,25042006,dephasing,C2_group,0.7999999999999999,16,32
v32.22,7,128,25042006,dephasing,C_group,0.7999999999999999,16,32
v32.22,7,128,25042006,transverse,S_group,-0.17058823529411765,16,32
v32.22,7,128,25042006,transverse,A_group,-0.17058823529411765,16,32
v32.22,7,128,25042006,transverse,C2_group,-0.07352941176470588,16,32
v32.22,7,128,25042006,transverse,C_group,-0.07352941176470588,16,32
v32.22,7,128,25042007,dephasing,S_group,-0.15505865102639294,32,64
v32.22,7,128,25042007,dephasing,A_group,0.14919354838709678,32,64
v32.22,7,128,25042007,dephasing,C2_group,0.011363636363636362,32,64
v32.22,7,128,25042007,dephasing,C_group,0.011363636363636362,32,64
v32.22,7,128,25042007,transverse,S_group,0.1378299120234604,32,64
v32.22,7,128,25042007,transverse,A_group,-0.20564516129032256,32,64
v32.22,7,128,25042007,transverse,C2_group,0.14296187683284456,32,64
v32.22,7,128,25042007,transverse,C_group,0.14296187683284456,32,64
v32.22,7,128,25042008,dephasing,S_group,0.02785923753665689,32,64
v32.22,7,128,25042008,dephasing,A_group,0.09017595307917887,32,64
v32.22,7,128,25042008,dephasing,C2_group,0.11986803519061583,32,64
v32.22,7,128,25042008,dephasing,C_group,0.11986803519061583,32,64
v32.22,7,128,25042008,transverse,S_group,0.16458944281524926,32,64
v32.22,7,128,25042008,transverse,A_group,0.16825513196480937,32,64
v32.22,7,128,25042008,transverse,C2_group,0.3936950146627565,32,64
v32.22,7,128,25042008,transverse,C_group,0.3936950146627565,32,64
v32.22,7,128,25042009,dephasing,S_group,0.16764705882352943,16,32
v32.22,7,128,25042009,dephasing,A_group,0.8117647058823528,16,32
v32.22,7,128,25042009,dephasing,C2_group,0.8147058823529412,16,32
v32.22,7,128,25042009,dephasing,C_group,0.8147058823529412,16,32
v32.22,7,128,25042009,transverse,S_group,0.0588235294117647,16,32
v32.22,7,128,25042009,transverse,A_group,0.823529411764706,16,32
v32.22,7,128,25042009,transverse,C2_group,0.6588235294117648,16,32
v32.22,7,128,25042009,transverse,C_group,0.6588235294117648,16,32
v32.22,7,128,25042010,dephasing,S_group,0.2676470588235294,16,32
v32.22,7,128,25042010,dephasing,A_group,0.5029411764705883,16,32
v32.22,7,128,25042010,dephasing,C2_group,0.6411764705882352,16,32
v32.22,7,128,25042010,dephasing,C_group,0.6411764705882352,16,32
v32.22,7,128,25042010,transverse,S_group,0.26176470588235295,16,32
v32.22,7,128,25042010,transverse,A_group,0.5029411764705883,16,32
v32.22,7,128,25042010,transverse,C2_group,0.5588235294117647,16,32
v32.22,7,128,25042010,transverse,C_group,0.5588235294117647,16,32
v32.22,7,128,25042011,dephasing,S_group,-0.18235294117647058,16,32
v32.22,7,128,25042011,dephasing,A_group,0.22647058823529412,16,32
v32.22,7,128,25042011,dephasing,C2_group,0.1323529411764706,16,32
v32.22,7,128,25042011,dephasing,C_group,0.1323529411764706,16,32
v32.22,7,128,25042011,transverse,S_group,-0.047058823529411764,16,32
v32.22,7,128,25042011,transverse,A_group,0.3029411764705882,16,32
v32.22,7,128,25042011,transverse,C2_group,0.3147058823529411,16,32
v32.22,7,128,25042011,transverse,C_group,0.3147058823529411,16,32
