model,fold,roc_auc,balanced_accuracy,accuracy,f1,fit_predict_seconds,n_train,n_test
anova500_logistic,6,1.0,0.9864864864864865,0.9857142857142858,0.9850746268656716,0.11455140000907704,280,70
anova500_logistic,7,1.0,0.9848484848484849,0.9857142857142858,0.9846153846153847,0.11454340000636876,280,70
anova500_logistic,8,1.0,1.0,1.0,1.0,0.10759390000021085,280,70
anova500_logistic,9,1.0,0.9861111111111112,0.9857142857142858,0.9855072463768116,0.10282470000674948,280,70
anova500_logistic,10,1.0,1.0,1.0,1.0,0.10419829998863861,280,70
anova500_logistic,11,1.0,1.0,1.0,1.0,0.1039706000010483,280,70
anova500_logistic,12,1.0,0.9864864864864865,0.9857142857142858,0.9850746268656716,0.11267390003195032,280,70
anova500_logistic,13,1.0,1.0,1.0,1.0,0.10715789999812841,280,70
anova500_logistic,14,1.0,0.9852941176470589,0.9857142857142858,0.9850746268656716,0.10840249998727813,280,70
anova500_logistic,15,0.9991830065359477,0.9861111111111112,0.9857142857142858,0.9855072463768116,0.10888710001017898,280,70
