geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,overlap_with_real
0.75,NULL,25043005,16,0.0027616804121637357,0.42017069010560437,-4.782408286840618,-5.2025789769462225,0.0,0.0,0.000877865671657455,0.00017260502576023348,5
0.75,RANDOM,25043005,16,0.9774089677786483,0.03416024967060505,-5.1684187272756175,-5.2025789769462225,0.0625,1.0,0.2869540187639389,0.06108806048616552,4
0.75,NULL,25043006,16,0.9731842577616885,0.04181982418634256,-5.16075915275988,-5.2025789769462225,0.0625,1.0,0.2860901749952033,0.06082401611010553,2
0.75,RANDOM,25043006,16,0.002771313770345765,0.43426788878010125,-4.768311088166121,-5.2025789769462225,0.0,0.0,0.0005919082191770991,0.00017320711064661032,2
0.75,NULL,25043007,16,0.973634517226299,0.040445095323457636,-5.162133881622765,-5.2025789769462225,0.0625,1.0,0.32999008144605607,0.06085215732664369,4
0.75,RANDOM,25043007,16,0.003970165960431657,0.4415378002726671,-4.761041176673555,-5.2025789769462225,0.0,0.0,0.0009279916362919635,0.0002481353725269786,7
0.75,NULL,25043008,16,0.002750430395728619,0.44015047970306753,-4.762428497243155,-5.2025789769462225,0.0,0.0,0.0016480631093405888,0.0001719018997330387,4
0.75,RANDOM,25043008,16,0.002873753461714984,1.2511747349006672,-3.9514042420455553,-5.2025789769462225,0.0,0.0,0.0005377393826282744,0.0001796095913571865,4
0.75,NULL,25043009,16,0.9750214987982029,0.03704865426114878,-5.165530322685074,-5.2025789769462225,0.0625,1.0,0.2984816031628598,0.06093884367488768,6
0.75,RANDOM,25043009,16,0.003396002520827553,0.5676934984702111,-4.634885478476011,-5.2025789769462225,0.0,0.0,0.0009270926049438796,0.00021225015755172206,5
0.75,NULL,25043010,16,0.01751316795159337,0.5646968910130701,-4.637882085933152,-5.2025789769462225,0.0,0.0,0.0040085966164264105,0.0010945729969745856,5
0.75,RANDOM,25043010,16,0.0034374103905071536,1.3881033329913852,-3.8144756439548373,-5.2025789769462225,0.0,0.0,0.0007920554882700167,0.0002148381494066971,4
0.75,NULL,25043011,16,0.0029199643566252802,0.7474835876999881,-4.455095389246234,-5.2025789769462225,0.0,0.0,0.0006208462998804863,0.00018249777228908002,4
0.75,RANDOM,25043011,16,0.0035642239327071524,0.8928424518344809,-4.309736525111742,-5.2025789769462225,0.0,0.0,0.0010740639049512117,0.00022276399579419703,4
1.0,REAL,,2,0.9716905822156552,0.04388758201131626,-4.415601113943449,-4.459488695954765,1.0,1.0,1.0,0.4858452911078276,
1.0,NULL,25043000,2,6.762758758873718e-36,1.0278635702812577,-3.4316251256735075,-4.459488695954765,0.0,0.0,0.0,3.381379379436859e-36,0
1.0,RANDOM,25043000,2,1.244149711410639e-37,0.9517308732502916,-3.5077578227044737,-4.459488695954765,0.0,0.0,0.0,6.220748557053195e-38,0
1.0,NULL,25043001,2,0.002707947251272514,0.5417891624793687,-3.9176995334753966,-4.459488695954765,0.0,0.0,0.0020214273146154506,0.001353973625636257,0
1.0,RANDOM,25043001,2,3.316759597394675e-05,0.6496212835634454,-3.80986741239132,-4.459488695954765,0.0,0.0,2.4735988238835043e-05,1.6583797986973375e-05,0
1.0,NULL,25043002,2,5.670151980842255e-32,1.1310557507299936,-3.3284329452247716,-4.459488695954765,0.0,0.0,0.0,2.8350759904211273e-32,0
1.0,RANDOM,25043002,2,1.8704815494545645e-36,1.351040965245236,-3.1084477307095293,-4.459488695954765,0.0,0.0,0.0,9.352407747272823e-37,0
1.0,NULL,25043003,2,0.0009187964580740944,1.3985605290870047,-3.0609281668677606,-4.459488695954765,0.0,0.0,0.0004324629433684145,0.0004593982290370472,0
1.0,RANDOM,25043003,2,8.441523931358949e-33,0.43650424893471307,-4.022984447020052,-4.459488695954765,0.0,0.0,0.0,4.220761965679474e-33,0
